SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
74 H,93015,,Scow,,,7/28/1916,1916,7,28,Sandy Hook SE 5 mi,,,Grounded,,,,,,,,,,,,1,,0,,,,USCG #97 & 99,,N,,
A B Crosby,,,Schooner,1884,,3/12/1888,1888,3,12,Atlantic Highlands,,,Grounded in snowstorm,,England,,,,,,"Aspinwall, PA","Porto Bello, Panama","New York, NY",Masters,,,0,,,Coconuts,,N,N,Refloated; Made New York 3/26/1888,
A B Sherman,,,Schooner,1883,,12/8/1886,1886,12,8,Five Fathoms Bank Light,,,Storm,Wood,US,154.5,35.5,15.4,612,581,"Taunton, MA","Boston, MA","Baltimore, MD",,,,,,,,,,Y,#106238,
A B Thompson,,,Yacht,,,7/18/1874,1874,7,18,Absecon,,,Capsized,,US,,,,,,"Atlantic City, NJ","Atlantic City, NJ","Atlantic City, NJ",Francis Steelman,1,7,5,,,,,,N,,
A C Austin,,,Schooner,,,2/1868,1868,2,,Sandy Hook Romer Shoal,,,Grounded,Wood,US,,,,,,,,,,,,,"$30,000",,Coal,,,N,,
A C Wescoat (1989),\,A C Wescoat Co,Deck barge,,,10/11/1989,1989,10,11,Atlantic City Artificial Reef,39-15-540 N,74-14-691 W,Opened hull,Steel,US,60,25,7,,,NJ AR,AC,9,,,,,,,,,Y,Y,"Sponsor Atlantic Cty Party & CBA, et al",See scrapbooks 38 - 43 - Purple Misc
A C Wescoat (2006),,,Deck barge,,,7/26/2006,2006,7,25,Ocean City Artificial Reef,39-09-819 N,74-34-310 W,Scuttled,Steel,US,60,,,,,NJ AR,OC,85,,,,,,,,,Y,Y,Sponsor - A C Wescoat,See scrapbooks 38 - 43 - Purple Misc
A D Scull,,,Schooner,1864,,4/18/1880,1880,4,18,Townsends Inlet,,,Grounded,Wood,US,,,,395,375,Great Egg Harbor,"Fall River, MA","New Castle, DE",Frambus,7,0,0,"$8,000","$1,000",Barrels,#34 Townsend's Inlet,N,N,#501; Refloated,
A E Douglass,,,Schooner,1855,,6/4/1862,1862,6,4,Barnegat N 8 mi,,,Foundered,Wood,US,,,9,,150,"Middletown, CT","Philadelphia, PA","Boston, MA",Coleman,3,3,5,,,Coal,,,N,,
A F Baillie,,,Schooner,1872,,11/17/1875,1875,11,17,"Carters Bar, VA",,,Storm,Wood,US,,,,,284,"Tuckerton, NJ","Baltimore, MD","Boston, MA",Charles Harkin,6,,,"$13,000","$1,400",Coal,,,N,#105159,
A F Crockett,,,Schooner,1881,"Bath, ME",5/21/1894,1894,5,21,Harvey Cedars NE .5 mi,,,Stranded,Wood,US,141,31,1,434,412,"Rockland, ME","Brunswick, GA","New York, NY",Thorndike,7,0,0,"$16,000","$7,000",Lumber,Harvey Cedars,,N,#106034; Total loss,
A Field,A D Field,,Schooner,,,2/10/1852,1852,2,10,Deal Beach,,,Stranded,,,,,,,,,"Cardenas, Mexico","New York, NY",,10,,1,,,,,,N,"aka ""A D Field""",
A G Ropes,,Luckenbach SS Co,Schooner - Barge,1884,"Bath, ME",12/26/1913,1913,12,26,Island Beach,,,Foundered in gale,Wood,US,258.2,44.7,28.4,2438,2328,"New York, NY","Philadelphia, PA","Providence, RI",,5,,5,"$50,000","$9,800",Coal,,Y,Y,#106318; Total loss,
A H Bowman,,,Steamship,,,12/4/1857,1857,12,4,Deal Lake N .25 mi,,,,,US,,,,,,,"Norfolk, VA","New York, NY",Wooden,22,0,0,"$30,000",,Wheat,,,N,,
A H DuMont,,Spentonbush Red Star Co,Tanker,1940,"Camden, NJ",6/10/1986,1986,6,10,Garden State North Artificial Reef,39-37-727 N,74-01-029 W,Opened hull,Steel,US,247,38,26,,,NJ AR,GSN,8,,,,,,,,,Y,Y,Sponsor - Fisherman Magazine,See scrapbooks 38 - 43 - Purple Misc
A H Edward,,,Schooner,,,1820,1820,,,Nine Mile Beach,,,Stranded,,,,,,,,,,,,,,,,,,,,N,Very little info,
A H Hurlburt,,,Schooner,1871,"Middletown, CT",6/26/1884,1884,6,26,Cape May LSS SW 4 mi,,,Stranded,Wood,US,126,30,10,263.29,250.13,"New Haven, CT","Hallowell, ME","Yorktown, VA",Crosby,7,,0,"$20,000","$40,000",Granite,Cape May,N,N,#105055; Refloated,
A J Bentley,,Bentley & Gildersleeve,Schooner,1865,"Hartford, CT",5/27/1873,1873,5,27,Barnegat,,,Collision w/ unknown schooner,Wood,,,,10,290,,"New Haven, CT","Georgetown, DC","New York, NY",Williams,,,,,,,,N,N,Partial loss; Towed to New Haven,
A J Hoole,,,Schooner,,,12/19/1902,1902,12,19,Spermaceti Cove LSS S 1 mi,,,Grounded,,,,,,21,,"New York, NY","Jersey City, NJ","Seabright, NJ",Radgan,3,0,0,"$1,000",,None,Spermaceti Cove,N,N,Partial loss; Refloated,
A L & M Townsend,George White,,Schooner,1871,"Barnegat, NJ",12/30/1888,1888,12,30,Little Egg LSS S 2 mi,,,Grounded,Wood,US,61.6,21.5,5.3,42.27,40.16,"Somers Point, NJ","New York, NY","Atlantic City, NJ",Booy,3,,,"$1,500",$200,Brick,Little Egg,N,N,#106349; Refloated,
A L Lee (1897),,,Schooner,1884,"Mays Landing, NJ",3/25/1897,1897,3,25,Ocean City LSS E .5 mi,,,Stranded,Wood,US,83,27,5.6,87,83,"Somers Point, NJ","Somers Point, NJ","Haverstraw, NY",Gaskill,5,,0,"$5,000",$0,None,Ocean City,N,N,#106301; Refloated,
A L Lee (1898),,,Schooner,1884,"Mays Landing, NJ",8/26/1898,1898,8,26,Absecon bar,,,Grounded,Wood,US,83,27,5.6,87,83,"Somers Point, NJ","Haverstraw, NY","Atlantic City, NJ",Gaskill,6,,0,"$3,000",$500,Bricks,Absecon & Atlantic City,N,N,#106301; Refloated,
A L Lee (1902),,,Schooner,1884,"Mays Landing, NJ",12/10/1902,1902,12,10,Absecon bar,,,Grounded,Wood,US,83,27,5.6,87,83,"Somers Point, NJ","Haverstraw, NY","Atlantic City, NJ",Gaskill,4,,0,"$5,000",$650,Bricks,Absecon & Atlantic City,Y,N,#106301; Total loss,
A Lincoln,,,Schooner,1865,"Essex, MA",10/12/1891,1891,10,12,Barnegat,,,Damaged in gale,,,65,18.8,6.7,46.76,44.42,"Provincetown, MA",,Fishing trip,,10,0,1,,,Fish,,,N,#472,
A M C Smith,,,Schooner,,,10/13/1876,1876,10,13,Green Island LSS N .25 mi,39-36-00 N,74-12-06 W,Stranded,,,,,,44.55,,"New London, CT","New York, NY",Fishing trip,A W Rogers,8,,0,"$4,000",,None,Green Island #12,N,N,#1711; Refloated,
A M Lee,,G H Newhall,Schooner,1864,"Tuckahoe, NJ",10/12/1885,1885,10,12,Highlands SE .5 mi,,,Dismasted in storm,Wood,US,108.9,29,9.1,267.58,254.21,"Provincetown, MA","Philadelphia, PA","Bridgeport, CT",Plummer,4,,0,,,Coal,,Y,N,#503; Sank while in tow,
