id,name,detail,date,stature,school
2,1 Teng Hsi,lawyer/debater,-500,Minor philosopher,
3,2 Yen Hui,Confucian,-500,Minor philosopher,
4,3 Tzu-lu,Confucian,-500,Minor philosopher,
5,4 Tzu Kung,"Confucian, diplomat",-500,Minor philosopher,
6,5 Jan Yu,politician,-500,Minor philosopher,
7,6 Chung Kung,Confucian,-500,Minor philosopher,
8,7 Yu Tzu,soldier,-500,Minor philosopher,
9,8 Tseng Hsi,Confucian,-500,Minor philosopher,
10,9 Tzu-hsia,f. school of Confucian disciples,-500,Minor philosopher,
11,10 Tzu-yu,same,-500,Minor philosopher,Confucian school
12,11 Tzu-chang,same,-500,Minor philosopher,Confucian school
13,12 Mi Tzu-chien,Confucian,-500,Minor philosopher,
14,13 Tzu-ch'ih,Confucian,-500,Minor philosopher,
15,14 Tzu-hua,Confucian,-500,Minor philosopher,
16,15 Shih Shih,Confucian,-500,Minor philosopher,
17,16 Ch'i Tiao-K'ai,f. school of Confucian disciples,-500,Minor philosopher,
18,17 Kung-sun Ni-tzu,Confucian,-500,Minor philosopher,Confucian school
19,18 Fu Tzu-chien,Confucian,-500,Minor philosopher,
20,19 Tzu-ssu,Confucius' grandson; f. school of disciples,-500,Minor philosopher,Confucian school
21,19a? Chung-liang,f. school of Confucian disciples,-500,Minor philosopher,Confucian school
22,20 T'ien Tzu-Fung,"Confucian, instructor of kings",-500,Minor philosopher,Confucian school
23,21 Tuan-kun Mu,same,-500,Minor philosopher,Confucian school
24,22 Wu Ch'i,Confucian general,-500,Minor philosopher,Confucian school
25,23 Kung-meng Tzu,Confucian,-500,Minor philosopher,Confucian school
26,23a Li K'uei,agriculturalist politician,-500,Minor philosopher,
27,24 Ch'eng-tzu,Confucian,-500,Minor philosopher,Confucian school
28,25 Keng Chu,Mohist,-500,Minor philosopher,Mohists
29,26 Sui Ch'ao Ti,Mohist,-500,Minor philosopher,Mohists
30,27 Wii Lu,agriculturalist self-sufficiency,-400,Minor philosopher,agriculturalist primitivist
31,28 Ch'in Ku-li,major disciple of Mo Ti,-400,Minor philosopher,Mohists
32,29 Tzu Hua Tzu,Yang Chu follower,-365,Minor philosopher,
33,30 Yi Chili,Mohist,-365,Minor philosopher,Mohists
34,31 Hsu Fan,"from Mohist school; neo-Confucian, possibly identical w Hsii Hsing",-365,Minor philosopher,agriculturalist primitivist
35,32 Ch'en Hsiang,agriculturalist primitivist,-365,Minor philosopher,agriculturalist primitivist
36,33 Ch'en Liang,,-365,Minor philosopher,
